Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/activity,1,1,5.409500008681789,5.409500008681789,5.409500008681789,5.409500008681789,22.0,0.05630710304775346,0.05630710304775346,5,5,5,5,5,5,5,5,5,5,5
POST,/auth/login,1,0,2412.929400015855,2412.929400015855,2412.929400015855,2412.929400015855,289.0,0.05630710304775346,0.0,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400
GET,/documents,4,4,3,2.907424990553409,2.714699978241697,3.0894000083208084,22.0,0.22522841219101383,0.22522841219101383,3,3,3,3,3,3,3,3,3,3,3
GET,/documents/1,1,1,2.9910999874118716,2.9910999874118716,2.9910999874118716,2.9910999874118716,22.0,0.05630710304775346,0.05630710304775346,3,3,3,3,3,3,3,3,3,3,3
POST,/documents/upload,2,2,5,4.885750007815659,4.680000012740493,5.091500002890825,93.0,0.11261420609550692,0.11261420609550692,5,5,5,5,5,5,5,5,5,5,5
,Aggregated,9,8,3,271.41457777664374,2.714699978241697,2412.929400015855,67.44444444444444,0.5067639274297812,0.45045682438202767,3,5,5,5,2400,2400,2400,2400,2400,2400,2400
