Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/activity,3,3,2,2.0269666565582156,1.3858999882359058,2.5674999924376607,22.0,0.16617081835137693,0.16617081835137693,2,2,3,3,3,3,3,3,3,3,3
POST,/auth/login,1,0,2267.6905000116676,2267.6905000116676,2267.6905000116676,2267.6905000116676,289.0,0.055390272783792306,0.0,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300
GET,/documents,5,5,2,2.172759996028617,1.7303999920841306,2.475299988873303,22.0,0.2769513639189615,0.2769513639189615,2,2,2,2,2,2,2,2,2,2,2
GET,/documents/1,2,2,1.7442000098526478,1.6633500054012984,1.582500000949949,1.7442000098526478,22.0,0.11078054556758461,0.11078054556758461,2,2,2,2,2,2,2,2,2,2,2
,Aggregated,11,10,2,207.99653636111708,1.3858999882359058,2267.6905000116676,46.27272727272727,0.6092930006217153,0.553902727837923,2,2,2,2,3,2300,2300,2300,2300,2300,2300
