Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/activity,1,1,2.7492000081110746,2.7492000081110746,2.7492000081110746,2.7492000081110746,22.0,0.05780271159409826,0.05780271159409826,3,3,3,3,3,3,3,3,3,3,3
POST,/auth/login,2,0,414.9330999935046,1363.1529499980388,414.9330999935046,2311.372800002573,289.0,0.11560542318819653,0.0,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300
GET,/documents,2,2,3,3.1745500018587336,2.7027000032830983,3.646400000434369,22.0,0.11560542318819653,0.11560542318819653,4,4,4,4,4,4,4,4,4,4,4
GET,/documents/1,1,1,2.8543999942485243,2.8543999942485243,2.8543999942485243,2.8543999942485243,22.0,0.05780271159409826,0.05780271159409826,3,3,3,3,3,3,3,3,3,3,3
POST,/documents/upload,3,3,5,5.04723332899933,4.489099985221401,5.797199992230162,93.0,0.17340813478229478,0.17340813478229478,5,5,6,6,6,6,6,6,6,6,6
,Aggregated,9,7,4,305.9333666654614,2.7027000032830983,2311.372800002573,105.0,0.5202244043468843,0.40461898115868783,4,5,6,410,2300,2300,2300,2300,2300,2300,2300
