Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/activity,1,1,2.8261000115890056,2.8261000115890056,2.8261000115890056,2.8261000115890056,22.0,0.06092586896303843,0.06092586896303843,3,3,3,3,3,3,3,3,3,3,3
POST,/auth/login,1,0,2403.7136999832,2403.7136999832,2403.7136999832,2403.7136999832,289.0,0.06092586896303843,0.0,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400
GET,/documents,2,2,2,2.571749995695427,1.855600014096126,3.287899977294728,22.0,0.12185173792607686,0.12185173792607686,3,3,3,3,3,3,3,3,3,3,3
GET,/documents/1,1,1,1.9964000093750656,1.9964000093750656,1.9964000093750656,1.9964000093750656,22.0,0.06092586896303843,0.06092586896303843,2,2,2,2,2,2,2,2,2,2,2
POST,/documents/upload,5,5,6,6.483359989942983,4.391899972688407,8.810300001641735,93.0,0.30462934481519216,0.30462934481519216,6,7,7,9,9,9,9,9,9,9,9
,Aggregated,10,9,4,244.609649994527,1.855600014096126,2403.7136999832,84.2,0.6092586896303843,0.5483328206673459,6,6,7,9,2400,2400,2400,2400,2400,2400,2400
