Method,Name,Error,Occurrences,First Seen,Last Seen
POST,/documents/upload,HTTPError('422 Client Error: Unprocessable Content for url: /documents/upload'),3,2026-06-22T19:20:30Z,2026-06-22T19:20:42Z
GET,/documents/1,HTTPError('404 Client Error: Not Found for url: /documents/1'),1,2026-06-22T19:20:45Z,2026-06-22T19:20:45Z
GET,/activity,HTTPError('404 Client Error: Not Found for url: /activity'),1,2026-06-22T19:20:43Z,2026-06-22T19:20:43Z
GET,/documents,HTTPError('404 Client Error: Not Found for url: /documents'),2,2026-06-22T19:20:33Z,2026-06-22T19:20:36Z
