Method,Name,Error,Occurrences,First Seen,Last Seen
POST,/documents/upload,HTTPError('422 Client Error: Unprocessable Content for url: /documents/upload'),2,2026-06-22T19:20:11Z,2026-06-22T19:20:18Z
GET,/documents/1,HTTPError('404 Client Error: Not Found for url: /documents/1'),1,2026-06-22T19:20:06Z,2026-06-22T19:20:06Z
GET,/activity,HTTPError('404 Client Error: Not Found for url: /activity'),1,2026-06-22T19:20:13Z,2026-06-22T19:20:13Z
GET,/documents,HTTPError('404 Client Error: Not Found for url: /documents'),4,2026-06-22T19:20:02Z,2026-06-22T19:20:15Z
